wd_entity,wd_field,wd_type,wd_description
Organization_Structure_DissolveType,Organization_Structure_Dissolve_Data,Organization_Structure_Dissolve_DataType,
Organization_FindType,As_Of_Date,date,"Defines the As Of Date to be used for any application effective dated data within the Workday system. For ""Find"" operations, the ""As Of Date"" determines what data to be used within the search logic. For ""Get"" operations, the response element will only include data that is the most effective as of the ""As Of Date""."
Organization_FindType,Organization_Name,string,"If specified, this search criterium will return those references with an exact match. The search index used to query on this value is not case-sensitive."
Organization_FindType,Location_Reference_Data,Business_Site_Reference_DataType,"If specified, this search criterium will return those references with an exact match. The search index used to query on this value is not case-sensitive."
Organization_FindType,Employee_Reference_Data,Employee_ReferenceType,"If specified, this search criterium will return those references with an exact match. The search index used to query on this value is not case-sensitive."
Organization_FindType,Contingent_Worker_Reference_Data,Contingent_Worker_Reference_DataType,"If specified, this search criterium will return those references with an exact match. The search index used to query on this value is not case-sensitive."
Organization_GetType,Organization_Reference,Organization_ReferenceType,
Enrollment_Period_DataType,Benefit_Program_Name,string,A reference to the benefit program.
Enrollment_Period_DataType,Plan_Year,date,The year of the plan year definition.
Enrollment_Period_DataType,Begin_Date,date,The start date of the plan year.
Enrollment_Period_DataType,End_Date,date,The end date of the plan year.
Name_DataType,Country_Reference,Country_ReferenceType,
Name_DataType,Additional_Name_Type,string,Defining the type of name. Typical uses include using to capture Preferred or Maiden names.
Name_DataType,Prefix,Prefix_Name_DataType,
Name_DataType,First_Name,string,Person first name.This field will only have a value if mapped to a name component for the country (identified by the ISO code above) within the workday application.
Name_DataType,Middle_Name,string,Person middle name.This field will only have a value if mapped to a name component for the country (identified by the ISO code above) within the workday application.
Name_DataType,Last_Name,Last_Name_DataType,
Name_DataType,Local_Name_Data,Local_Name_DataType,
Name_DataType,Suffix,Suffix_Name_DataType,
Leave_of_Absence_Type_ReferenceType,Leave_Type_Name,string,Unique attribute name/description identifying a valid instance of Leave of Absence Type.
Employee_Personal_Info_UpdateType,Employee_Reference,Employee_ReferenceType,
Employee_Personal_Info_UpdateType,Employee_Personal_Info_Data,Worker_Personal_Info_DataType,
Employee_Compensation_Salary_Plan_Assignment_DataType,Salary_Plan_Name,string,Text attribute identifying name of Salary Plan.
Employee_Compensation_Salary_Plan_Assignment_DataType,Compensation_Element_Values_for_Base_Pay_Data,Employee_Compensation_Salary_Plan_Assignment_Detail_DataType,
Employee_Compensation_Hourly_Plan_Assignment_DataType,Hourly_Plan_Name,string,Text attribute identifying name of Hourly Plan.
Employee_Compensation_Hourly_Plan_Assignment_DataType,Compensation_Element_Values_for_Base_Pay_Data,Employee_Compensation_Salary_Plan_Assignment_Detail_DataType,
Employee_Compensation_Allowance_Plan_Assignment_DataType,Allowance_Plan_Name,string,Text attribute identifying name of Allowance Plan.
Employee_Compensation_Allowance_Plan_Assignment_DataType,Compensation_Element_Values_for_Allowance_Plan_Data,Employee_Compensation_Allowance_Plan_Assignment_Detail_DataType,
Employee_Compensation_Allowance_Plan_Assignment_Detail_DataType,Compensation_Element_Reference,Compensation_Element_ReferenceType,The expected end date of the plan assignment.
Employee_Compensation_Allowance_Plan_Assignment_Detail_DataType,Percent,,Percent for Compensation Element.
Employee_Compensation_Allowance_Plan_Assignment_Detail_DataType,Amount,,Amount for Compensation Element.
Employee_Compensation_Allowance_Plan_Assignment_Detail_DataType,Currency_Reference,Currency_Reference_DataType,
Employee_Compensation_Allowance_Plan_Assignment_Detail_DataType,Frequency_Reference,Frequency_Reference_DataType,
Employee_Compensation_Allowance_Plan_Assignment_Detail_DataType,Expected_End_Date,date,Expected End Date
Employee_Compensation_Allowance_Plan_Assignment_Detail_DataType,Reimbursement_Start_Date,date,Reimbursement Start Date.
