wd_entity,wd_field,wd_type,wd_description,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
Employee_Compensation_Bonus_Plan_Assignment_Detail_DataType,Currency_Reference,Currency_Reference_DataType,,direct_alias_match,compensation.base_salary,,accounting.document_currency_code,0.500,compensation.base_salary,1.000
Employee_Compensation_Bonus_Plan_Assignment_Detail_DataType,Frequency_Reference,Frequency_Reference_DataType,,direct_alias_match,compensation.base_salary,,compensation.base_salary,1.000,compensation.base_salary,1.000
Business_Site_GetType,Location_Reference,Business_Site_Reference_DataType,,direct_alias_match,address.country,,address.city,0.800,address.country,1.000
Compensation_Grade_Profile_ReferenceType,Compensation_Grade_Reference,Compensation_Grade_ReferenceType,,direct_alias_match,compensation.grade,,compensation.grade,1.000,compensation.grade,1.000
Personal_Info_DataType,Business_Title,string,The Business Title for the worker's primary position. This value cannot be updated in the Update Employee Personal Information or Update Contingent Worker Personal Information. It should be updated using the Edit Position operation.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Personal_Info_DataType,Person_Data,Person_DataType,,unmapped,,,,,,
Personal_Info_DataType,Qualification_Data,Qualification_DataType,,unmapped,,,,,,
Contingent_Worker_Personal_Info_UpdateType,Contingent_Worker_Personal_Info_Data,Worker_Personal_Info_DataType,,unmapped,,,,,,
Gender_DataType,Country_Reference,CountryObjectType,The country for the gender.,direct_alias_match,address.country,,activity id,0.800,address.country,1.000
Gender_DataType,Is_Female,boolean,Indicates if the gender is female.,unmapped,,,,,,
Gender_DataType,Is_Male,boolean,Indicates if the gender is male.,unmapped,,,,,,
Gender_DataType,Gender_Description,string,Genders for applicants and workers. This is used in EEO reporting.,unmapped,,,,,,
Gender_DataType,Gender_Code,string,The gender code.,strong_canonical_candidate,,,employee.gender,1.000,gender,1.000
Gender_DataType,Inactive,boolean,The inactive flag.,direct_alias_match,address.city,,activity id,0.800,address.city,1.000
Organization_InactivateType,Validate_Only,boolean,Use this boolean to validate the request without processing it.,unmapped,,,,,,
Organization_InactivateType,Organization_Inactivate_Data,Organization_Inactivate_DataType,,unmapped,,,,,,
Organization_InactivateType,Keep_in_Hierarchy,boolean,Use this boolean to keep the organization in hierarchy.,unmapped,,,,,,
Worker_Personal_DataType,Biographic_Data,Biographic_DataType,,unmapped,,,,,,
Worker_Personal_DataType,Demographic_Data,Demographic_DataType,,unmapped,,,,,,
Business_Site_ReferencesType,Location_Reference,Location_Reference_WWSType,Reference element representing an object within the Workday system. The sub-elements and attributes within this element are used to return one and only one instance of the identifying object.,direct_alias_match,address.country,,address.city,0.800,address.country,1.000
External_Integration_ID_DataType,ID,IDType,,direct_alias_match,address.city,,activity id,1.000,account.id,1.000
Worker_Position_DataType,Position_Reference,Position_ReferenceType,,direct_alias_match,employee.position,,address.country,0.800,employee.id,0.550
Worker_Position_DataType,Position_ID,string,Text attribute identifying Position ID.,direct_alias_match,employee.position,,address.country,0.800,employee.id,0.550
Worker_Position_DataType,Position_Title,string,Text attribute identifying Position Title.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Position_DataType,Business_Title,string,Business title for the position.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Position_DataType,Position_Time_Type_Reference,Position_Time_Type_ReferenceType,,direct_alias_match,employee.position,,activity id,0.500,employee group,0.550
Worker_Position_DataType,Job_Exempt,boolean,Boolean attribute identifying whether Position is Exempt.,direct_alias_match,address.country,,address.city,0.800,address.country,1.000
Worker_Position_DataType,Scheduled_Weekly_Hours,,Scheduled Weekly Hours for Position.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Position_DataType,Default_Weekly_Hours,,Standard Weekly Hours for Position.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Position_DataType,Full_Time_Equivalent_Percentage,,Full Time Equivalent Percentage for Position.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Position_DataType,Specify_Paid_FTE,boolean,True if Paid FTE Percentage is specified on the position.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Position_DataType,Paid_FTE,,"The paid full time equivalent percentage for the position, entered as a decimal value. This overrides the calculated full time equivalent.",direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Position_DataType,Specify_Working_FTE,boolean,True if Working FTE Percentage is specified on the position.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Position_DataType,Working_FTE,,"The working full time equivalent percentage for the position, entered as a decimal value. This overrides the calculated full time equivalent.",direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Position_DataType,Pay_Rate_Type_Reference,Pay_Rate_Type_ReferenceType,,direct_alias_match,compensation.base_salary,,activity id,0.500,compensation.base_salary,1.000
Worker_Position_DataType,Job_Profile_Summary_Data,Job_Profile_in_Position_Summary_DataType,,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Position_DataType,Supervisor_Reference,Supervisor_ReferenceType,Contains the reference to the manager of the worker. This will contain only one manager - even if there are actually multiple managers for the worker.,direct_alias_match,employee.manager_id,,address.country,0.500,employee.department,0.550
Worker_Position_DataType,Work_Shift_Reference,Work_ShiftObjectType,The work hour profile(s) for the position.,direct_alias_match,employee.position,,address.country,0.800,employee.id,0.550
